id,name,price,description,release_date,status
1517290,Battlefield™ 2042,139.0,"Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. In a near-future world transformed by disorder, adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal.",2021-11-12 11:11:11,1
1551360,Forza Horizon 5,136.0,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars. Begin Your Horizon Adventure today and add to your Wishlist!",2011-11-11 11:11:11,1
730,Counter-Strike: Global Offensive,21.0,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).",2012-08-21 11:11:11,1
578080,PUBG: BATTLEGROUNDS,39.0,PUBG: BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,2017-12-21 11:11:11,1
1203220,NARAKA: BLADEPOINT,72.0,"NARAKA: BLADEPOINT is an up to 60-player PVP mythical action combat experience with martial arts inspired melee combat, gravity defying mobility, vast arsenals of melee & ranged weapons, legendary customizable heroes with epic abilities - inspired by the legends of the Far East.",2021-08-11 11:11:11,1
1466860,Age of Empires IV,99.0,"One of the most beloved real-time strategy games returns to glory with Age of Empires IV, putting you at the center of epic historical battles that shaped the world.",2021-10-28 11:11:11,1
1172470,Apex Legends™,367.0,"Apex Legends is the award-winning, free-to-play Hero shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",2011-11-11 11:11:11,1
1244460,Jurassic World Evolution 2,22.0,Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.,2011-11-11 11:11:11,1
1569040,Football Manager 2022,7.0,"The closest thing to real football management. FM22 brings new, progressive ways to find your winning edge, instill your footballing style and earn it on the pitch.",2011-11-11 11:11:11,1
1245620,ELDEN RING,89.0,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",2022-02-24 11:11:11,1
1506830,FIFA 22,114.0,"Powered by Football™, EA SPORTS™ FIFA 22 brings the game even closer to the real thing with fundamental gameplay advances and a new season of innovation across every mode.",2021-09-30 11:11:11,1
1063730,New World,64.0,"Explore a thrilling, open-world MMO filled with danger and opportunity where you'll forge a new destiny on the supernatural island of Aeternum.",2021-09-28 11:11:11,1
1174180,Red Dead Redemption 2,154.0,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",2011-11-11 11:11:11,1
1085660,Destiny 2,118.0,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",2011-11-11 11:11:11,1
548430,Deep Rock Galactic,7.0,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.",2020-05-13 11:11:11,1
1248130,Farming Simulator 22,59.0,Now with the exciting addition of seasonal cycles! New machine categories and crops will add new gameplay mechanics to the experience.,2011-11-11 11:11:11,1
381210,Dead by Daylight,11.0,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",2016-06-14 11:11:11,1
289070,Sid Meier’s Civilization® VI,44.0,"Civilization VI offers new ways to interact with your world, expand your empire across the map, advance your culture, and compete against history’s greatest leaders to build a civilization that will stand the test of time. Play as one of 20 historical leaders including Roosevelt (America) and Victoria (England).",2016-10-20 11:11:11,1
236390,War Thunder,728.0,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",2013-08-15 11:11:11,1
1178830,Bright Memory: Infinite,14.0,"Bright Memory: Infinite is an all-new lightning-fast fusion of the FPS and action genres, created by FYQD-Studio. Combine a wide variety of skills and abilities to unleash dazzling combo attacks.",2021-11-11 11:11:11,1
570,Dota 2,9.0,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",2011-11-11 11:11:11,1
1030840,Mafia: Definitive Edition,89.0,"An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore.",2020-09-24 11:11:11,1
